data\f0.txtOf 63213 Letters ,Of 24325 Digits ,and 31351 rest  
data\f4.txtOf 43794 Letters ,Of 17068 Digits ,and 21778 rest  
data\f3.txtOf 35867 Letters ,Of 13578 Digits ,and 18014 rest  
data\f5.txtOf 53984 Letters ,Of 20743 Digits ,and 26646 rest  
data\f2.txtOf 87404 Letters ,Of 33739 Digits ,and 43745 rest  
data\f1.txtOf 33712 Letters ,Of 13209 Digits ,and 16888 rest  
data\f11.txtOf 4229 Letters ,Of 1588 Digits ,and 2073 rest  
data\f9.txtOf 15511 Letters ,Of 6040 Digits ,and 7576 rest  
data\f12.txtOf 58262 Letters ,Of 22526 Digits ,and 29425 rest  
data\f13.txtOf 58980 Letters ,Of 22690 Digits ,and 29412 rest  
data\f7.txtOf 98245 Letters ,Of 38162 Digits ,and 49332 rest  
data\f6.txtOf 69523 Letters ,Of 26592 Digits ,and 34979 rest  
data\f14.txtOf 36404 Letters ,Of 14344 Digits ,and 18318 rest  
data\f16.txtOf 45699 Letters ,Of 17678 Digits ,and 23049 rest  
data\f19.txtOf 26244 Letters ,Of 10040 Digits ,and 13244 rest  
data\f8.txtOf 79004 Letters ,Of 30082 Digits ,and 39236 rest  
data\f17.txtOf 86176 Letters ,Of 33325 Digits ,and 43041 rest  
data\f10.txtOf 102747 Letters ,Of 39731 Digits ,and 51587 rest  
data\f21.txtOf 60249 Letters ,Of 23027 Digits ,and 30193 rest  
data\f15.txtOf 92477 Letters ,Of 35522 Digits ,and 46201 rest  
data\f22.txtOf 68973 Letters ,Of 26271 Digits ,and 34191 rest  
data\f23.txtOf 75220 Letters ,Of 28609 Digits ,and 37476 rest  
data\f18.txtOf 47779 Letters ,Of 18197 Digits ,and 24346 rest  
data\f26.txtOf 47390 Letters ,Of 18295 Digits ,and 23391 rest  
data\f29.txtOf 34284 Letters ,Of 13084 Digits ,and 17103 rest  
data\f27.txtOf 95387 Letters ,Of 36418 Digits ,and 47554 rest  
data\f24.txtOf 81672 Letters ,Of 31372 Digits ,and 40940 rest  
data\f28.txtOf 88781 Letters ,Of 34233 Digits ,and 44496 rest  
data\f32.txtOf 3595 Letters ,Of 1342 Digits ,and 1805 rest  
data\f34.txtOf 9375 Letters ,Of 3775 Digits ,and 4563 rest  
data\f31.txtOf 57976 Letters ,Of 22203 Digits ,and 28840 rest  
data\f30.txtOf 92050 Letters ,Of 35408 Digits ,and 46230 rest  
data\f33.txtOf 29748 Letters ,Of 11366 Digits ,and 14912 rest  
data\f38.txtOf 33802 Letters ,Of 12797 Digits ,and 16835 rest  
data\f37.txtOf 52933 Letters ,Of 20258 Digits ,and 26750 rest  
data\f35.txtOf 97320 Letters ,Of 37323 Digits ,and 48900 rest  
data\f36.txtOf 102809 Letters ,Of 39438 Digits ,and 51937 rest  
data\f41.txtOf 40571 Letters ,Of 15395 Digits ,and 20157 rest  
data\f20.txtOf 43479 Letters ,Of 16938 Digits ,and 22102 rest  
data\f39.txtOf 96320 Letters ,Of 36775 Digits ,and 48173 rest  
data\f25.txtOf 73911 Letters ,Of 28528 Digits ,and 37148 rest  
data\f43.txtOf 35049 Letters ,Of 13171 Digits ,and 17605 rest  
data\f44.txtOf 26994 Letters ,Of 10245 Digits ,and 13531 rest  
data\f42.txtOf 77975 Letters ,Of 30021 Digits ,and 39152 rest  
data\f45.txtOf 54599 Letters ,Of 21155 Digits ,and 27489 rest  
data\f50.txtOf 18062 Letters ,Of 6949 Digits ,and 9074 rest  
data\f47.txtOf 71082 Letters ,Of 27243 Digits ,and 35676 rest  
data\f48.txtOf 56562 Letters ,Of 21705 Digits ,and 28279 rest  
data\f52.txtOf 6123 Letters ,Of 2444 Digits ,and 3071 rest  
data\f51.txtOf 36635 Letters ,Of 14298 Digits ,and 18512 rest  
data\f49.txtOf 87078 Letters ,Of 33226 Digits ,and 43558 rest  
data\f40.txtOf 87039 Letters ,Of 33933 Digits ,and 43473 rest  
data\f56.txtOf 4216 Letters ,Of 1553 Digits ,and 2097 rest  
data\f54.txtOf 71210 Letters ,Of 27585 Digits ,and 35960 rest  
data\f57.txtOf 69965 Letters ,Of 26684 Digits ,and 34740 rest  
data\f58.txtOf 56844 Letters ,Of 21939 Digits ,and 28236 rest  
data\f61.txtOf 4996 Letters ,Of 1983 Digits ,and 2616 rest  
data\f60.txtOf 58364 Letters ,Of 22100 Digits ,and 29065 rest  
